match_id,match,team,bat_pos,name,not_out,runs,balls,minutes,fours,sixes,strike_rate
1,USA vs Canada,Canada,1,Aaron Johnson,Out,23,16,24,5,0,143.75
1,USA vs Canada,Canada,2,Navneet Dhaliwal,Out,61,44,62,6,3,138.63
1,USA vs Canada,Canada,3,Pargat Singh,Out,5,7,12,0,0,71.42
1,USA vs Canada,Canada,4,Nicholas Kirton,Out,51,31,43,3,2,164.51
1,USA vs Canada,Canada,5,Shreyas Movva,Not Out,32,16,29,2,2,200
1,USA vs Canada,Canada,6,Dilpreet Bajwa,Out,11,5,5,1,1,220
1,USA vs Canada,Canada,7,Dilon Heyliger,Not Out,1,1,4,0,0,100
1,USA vs Canada,United States Of America,1,Steven Taylor,Out,0,2,2,0,0,0
1,USA vs Canada,United States Of America,2,Monank Patel,Out,16,16,33,2,0,100
1,USA vs Canada,United States Of America,3,Andries Gous,Out,65,46,76,7,3,141.3
1,USA vs Canada,United States Of America,4,Aaron Jones,Not Out,94,40,56,4,10,235
1,USA vs Canada,United States Of America,5,Corey Anderson,Not Out,3,5,8,0,0,60
2,West Indies vs PNG,Papua New Guinea,1,Tony Ura,Out,2,5,7,0,0,40
2,West Indies vs PNG,Papua New Guinea,2,Assad Vala,Out,21,22,26,2,1,95.45
2,West Indies vs PNG,Papua New Guinea,3,Lega Siaka,Out,1,2,2,0,0,50
2,West Indies vs PNG,Papua New Guinea,4,Sese Bau,Out,50,43,55,6,1,116.27
2,West Indies vs PNG,Papua New Guinea,5,Hiri Hiri,Out,2,6,10,0,0,33.33
2,West Indies vs PNG,Papua New Guinea,6,Charles Amini,Out,12,14,22,0,0,85.71
2,West Indies vs PNG,Papua New Guinea,7,Kiplin Doriga,Not Out,27,18,23,3,0,150
2,West Indies vs PNG,Papua New Guinea,8,Chad Soper,Out,10,9,10,1,0,111.11
2,West Indies vs PNG,Papua New Guinea,9,Alei Nao,Out,0,0,2,0,0,-
2,West Indies vs PNG,Papua New Guinea,10,Kabua Morea,Not Out,2,2,3,0,0,100
2,West Indies vs PNG,West Indies,1,Brandon King,Out,34,29,44,7,0,117.24
2,West Indies vs PNG,West Indies,2,Johnson Charles,Out,0,1,6,0,0,0
2,West Indies vs PNG,West Indies,3,Nicholas Pooran,Out,27,27,30,1,2,100
2,West Indies vs PNG,West Indies,4,Roston Chase,Not Out,42,27,39,4,2,155.55
2,West Indies vs PNG,West Indies,5,Rovman Powell,Out,15,14,14,2,0,107.14
2,West Indies vs PNG,West Indies,6,Sherfane Rutherford,Out,2,7,6,0,0,28.57
2,West Indies vs PNG,West Indies,7,Andre Russell,Not Out,15,9,11,0,1,166.66
3,Oman vs Namibia,Oman,1,Kashyap Prajapati,Out,0,1,1,0,0,0
3,Oman vs Namibia,Oman,2,Naseem Khushi,Out,6,6,16,1,0,100
3,Oman vs Namibia,Oman,3,Aqib Ilyas,Out,0,1,2,0,0,0
3,Oman vs Namibia,Oman,4,Zeeshan Maqsood,Out,22,20,29,4,0,110
3,Oman vs Namibia,Oman,5,Khalid Kail,Out,34,39,56,1,1,87.17
3,Oman vs Namibia,Oman,6,Ayaan Khan,Out,15,21,16,0,1,71.42
3,Oman vs Namibia,Oman,7,Mohammad Nadeem,Out,6,10,10,0,0,60
3,Oman vs Namibia,Oman,8,Mehran Khan,Out,7,8,12,1,0,87.5
3,Oman vs Namibia,Oman,9,Shakeel Ahmed,Out,11,9,13,2,0,122.22
3,Oman vs Namibia,Oman,10,Kaleemullah,Out,2,3,4,0,0,66.66
3,Oman vs Namibia,Oman,11,Bilal Khan,Not Out,1,1,5,0,0,100
3,Oman vs Namibia,Namibia,1,Michael van Lingen,Out,0,2,1,0,0,0
3,Oman vs Namibia,Namibia,2,Nikolaas Davin,Out,24,31,35,2,1,77.41
3,Oman vs Namibia,Namibia,3,Jan Frylinck,Out,45,48,77,6,0,93.75
3,Oman vs Namibia,Namibia,4,Gerhard Erasmus,Out,13,16,19,1,0,81.25
3,Oman vs Namibia,Namibia,5,JJ Smit,Out,8,12,13,1,0,66.66
3,Oman vs Namibia,Namibia,6,David Wiese,Not Out,9,8,15,0,1,112.5
3,Oman vs Namibia,Namibia,7,Zane Green,Out,0,2,2,0,0,0
3,Oman vs Namibia,Namibia,8,Malan Kruger,Not Out,1,1,3,0,0,100
1,USA vs Canada,Canada,1,Aaron Johnson,Out,23,16,24,5,0,143.75
1,USA vs Canada,Canada,2,Navneet Dhaliwal,Out,61,44,62,6,3,138.63
1,USA vs Canada,Canada,3,Pargat Singh,Out,5,7,12,0,0,71.42
1,USA vs Canada,Canada,4,Nicholas Kirton,Out,51,31,43,3,2,164.51
1,USA vs Canada,Canada,5,Shreyas Movva,Not Out,32,16,29,2,2,200.00
1,USA vs Canada,Canada,6,Dilpreet Bajwa,Out,11,5,5,1,1,220.00
1,USA vs Canada,Canada,7,Dilon Heyliger,Not Out,1,1,4,0,0,100.00
1,USA vs Canada,United States Of America,1,Steven Taylor,Out,0,2,2,0,0,0.00
1,USA vs Canada,United States Of America,2,Monank Patel,Out,16,16,33,2,0,100.00
1,USA vs Canada,United States Of America,3,Andries Gous,Out,65,46,76,7,3,141.30
1,USA vs Canada,United States Of America,4,Aaron Jones,Not Out,94,40,56,4,10,235.00
1,USA vs Canada,United States Of America,5,Corey Anderson,Not Out,3,5,8,0,0,60.00
2,West Indies vs PNG,Papua New Guinea,1,Tony Ura,Out,2,5,7,0,0,40.00
2,West Indies vs PNG,Papua New Guinea,2,Assad Vala,Out,21,22,26,2,1,95.45
2,West Indies vs PNG,Papua New Guinea,3,Lega Siaka,Out,1,2,2,0,0,50.00
2,West Indies vs PNG,Papua New Guinea,4,Sese Bau,Out,50,43,55,6,1,116.27
2,West Indies vs PNG,Papua New Guinea,5,Hiri Hiri,Out,2,6,10,0,0,33.33
2,West Indies vs PNG,Papua New Guinea,6,Charles Amini,Out,12,14,22,0,0,85.71
2,West Indies vs PNG,Papua New Guinea,7,Kiplin Doriga,Not Out,27,18,23,3,0,150.00
2,West Indies vs PNG,Papua New Guinea,8,Chad Soper,Out,10,9,10,1,0,111.11
2,West Indies vs PNG,Papua New Guinea,9,Alei Nao,Out,0,0,2,0,0,-
2,West Indies vs PNG,Papua New Guinea,10,Kabua Morea,Not Out,2,2,3,0,0,100.00
2,West Indies vs PNG,West Indies,1,Brandon King,Out,34,29,44,7,0,117.24
2,West Indies vs PNG,West Indies,2,Johnson Charles,Out,0,1,6,0,0,0.00
2,West Indies vs PNG,West Indies,3,Nicholas Pooran,Out,27,27,30,1,2,100.00
2,West Indies vs PNG,West Indies,4,Roston Chase,Not Out,42,27,39,4,2,155.55
2,West Indies vs PNG,West Indies,5,Rovman Powell,Out,15,14,14,2,0,107.14
2,West Indies vs PNG,West Indies,6,Sherfane Rutherford,Out,2,7,6,0,0,28.57
2,West Indies vs PNG,West Indies,7,Andre Russell,Not Out,15,9,11,0,1,166.66
3,Oman vs Namibia,Oman,1,Kashyap Prajapati,Out,0,1,1,0,0,0.00
3,Oman vs Namibia,Oman,2,Naseem Khushi,Out,6,6,16,1,0,100.00
3,Oman vs Namibia,Oman,3,Aqib Ilyas,Out,0,1,2,0,0,0.00
3,Oman vs Namibia,Oman,4,Zeeshan Maqsood,Out,22,20,29,4,0,110.00
3,Oman vs Namibia,Oman,5,Khalid Kail,Out,34,39,56,1,1,87.17
3,Oman vs Namibia,Oman,6,Ayaan Khan,Out,15,21,16,0,1,71.42
3,Oman vs Namibia,Oman,7,Mohammad Nadeem,Out,6,10,10,0,0,60.00
3,Oman vs Namibia,Oman,8,Mehran Khan,Out,7,8,12,1,0,87.50
3,Oman vs Namibia,Oman,9,Shakeel Ahmed,Out,11,9,13,2,0,122.22
3,Oman vs Namibia,Oman,10,Kaleemullah,Out,2,3,4,0,0,66.66
3,Oman vs Namibia,Oman,11,Bilal Khan,Not Out,1,1,5,0,0,100.00
3,Oman vs Namibia,Namibia,1,Michael van Lingen,Out,0,2,1,0,0,0.00
3,Oman vs Namibia,Namibia,2,Nikolaas Davin,Out,24,31,35,2,1,77.41
