match_id,match,team,name,overs,maidens,runs,wickets,economy,dots,fours,sixes,wides,no_balls
1,USA vs Canada,Canada,Ali Khan,4,0,41,1,10.25,11,5,2,2,0
1,USA vs Canada,Canada,Saurabh Netravalkar,2,0,16,0,8,3,2,0,0,0
1,USA vs Canada,Canada,Harmeet Singh,4,0,27,1,6.75,11,3,1,0,0
1,USA vs Canada,Canada,Jasdeep Singh,3,0,24,0,8,7,4,0,0,0
1,USA vs Canada,Canada,Shadley van Schalkwyk,3,0,34,0,11.33,1,1,2,0,0
1,USA vs Canada,Canada,Steven Taylor,1,0,15,0,15,1,0,2,0,0
1,USA vs Canada,Canada,Corey Anderson,3,0,29,1,9.66,4,2,1,0,0
1,USA vs Canada,United States Of America,Kaleem Sana,4,0,34,1,8.5,9,4,0,3,0
1,USA vs Canada,United States Of America,Jeremy Gordon,3,0,44,0,14.66,7,4,3,3,2
1,USA vs Canada,United States Of America,Dilon Heyliger,3,0,19,1,6.33,9,0,1,2,0
1,USA vs Canada,United States Of America,Saad Bin Zafar,4,0,42,0,10.5,9,2,4,0,0
1,USA vs Canada,United States Of America,Nikhil Dutta,2.4,0,41,1,15.37,5,2,4,2,1
1,USA vs Canada,United States Of America,Pargat Singh,1,0,15,0,15,0,1,1,0,0
2,West Indies vs PNG,Papua New Guinea,Akeal Hosein,3,0,9,1,3,13,1,0,0,0
2,West Indies vs PNG,Papua New Guinea,Romario Shepherd,3,0,23,1,7.66,5,1,0,1,0
2,West Indies vs PNG,Papua New Guinea,Andre Russell,3,0,19,2,6.33,8,2,0,1,0
2,West Indies vs PNG,Papua New Guinea,Roston Chase,4,0,26,0,6.5,11,1,1,3,0
2,West Indies vs PNG,Papua New Guinea,Alzarri Joseph,4,0,34,2,8.5,11,5,0,1,1
2,West Indies vs PNG,Papua New Guinea,Gudakesh Motie,3,0,24,1,8,7,2,1,0,0
2,West Indies vs PNG,West Indies,Kabua Morea,3,0,30,0,10,7,6,0,0,0
2,West Indies vs PNG,West Indies,Alei Nao,2,1,9,1,4.5,9,2,0,0,0
2,West Indies vs PNG,West Indies,Chad Soper,3,0,19,1,6.33,8,2,0,0,0
2,West Indies vs PNG,West Indies,Sese Bau,1,0,18,0,18,1,1,2,0,0
2,West Indies vs PNG,West Indies,John Kariko,4,0,17,1,4.25,15,0,1,0,0
2,West Indies vs PNG,West Indies,Assad Vala,4,1,28,2,7,11,3,1,0,0
2,West Indies vs PNG,West Indies,Charles Amini,2,0,14,0,7,3,0,1,0,0
3,Oman vs Namibia,Oman,Ruben Trumpelmann,4,0,21,4,5.25,12,2,0,0,1
3,Oman vs Namibia,Oman,David Wiese,3.4,0,28,3,7.63,11,4,1,0,0
3,Oman vs Namibia,Oman,Tangeni Lungameni,4,0,18,0,4.5,14,2,0,1,0
3,Oman vs Namibia,Oman,Bernard Scholtz,4,0,20,1,5,11,0,1,1,0
3,Oman vs Namibia,Oman,Gerhard Erasmus,4,0,20,2,5,9,1,0,0,0
3,Oman vs Namibia,Namibia,Bilal Khan,4,0,25,1,6.25,11,2,1,1,0
3,Oman vs Namibia,Namibia,Shakeel Ahmed,3,0,20,0,6.66,10,4,0,0,0
3,Oman vs Namibia,Namibia,Kaleemullah,2,0,10,0,5,7,1,0,0,0
3,Oman vs Namibia,Namibia,Aqib Ilyas,4,1,17,1,4.25,15,1,1,0,0
3,Oman vs Namibia,Namibia,Mehran Khan,3,1,7,3,2.33,12,0,0,0,0
3,Oman vs Namibia,Namibia,Zeeshan Maqsood,2,0,12,0,6,4,1,0,0,0
3,Oman vs Namibia,Namibia,Ayaan Khan,2,0,12,1,6,6,1,0,1,0
4,Sri Lanka vs South Africa,Sri Lanka,Marco Jansen,3.1,0,15,0,4.73,11,0,1,1,0
4,Sri Lanka vs South Africa,Sri Lanka,Kagiso Rabada,4,1,21,2,5.25,15,2,1,1,0
4,Sri Lanka vs South Africa,Sri Lanka,Ottneil Baartman,4,1,9,1,2.25,20,1,0,1,0
4,Sri Lanka vs South Africa,Sri Lanka,Keshav Maharaj,4,0,22,2,5.5,10,0,1,0,0
4,Sri Lanka vs South Africa,Sri Lanka,Anrich Nortje,4,0,7,4,1.75,18,0,0,0,0
4,Sri Lanka vs South Africa,South Africa,Angelo Mathews,3,0,16,0,5.33,11,1,1,1,0
4,Sri Lanka vs South Africa,South Africa,Nuwan Thushara,3,0,18,1,6,8,0,1,0,1
4,Sri Lanka vs South Africa,South Africa,Dasun Shanaka,3,1,6,1,2,12,0,0,0,0
4,Sri Lanka vs South Africa,South Africa,Matheesha Pathirana,3,0,12,0,4,8,0,0,1,0
4,Sri Lanka vs South Africa,South Africa,Wanindu Hasaranga,3.2,0,22,2,6.6,10,2,1,0,0
4,Sri Lanka vs South Africa,South Africa,Maheesh Theekshana,1,0,3,0,3,3,0,0,0,0
5,Afghanistan vs Uganda,Afghanistan,Alpesh Ramjani,4,0,33,1,8.25,9,0,2,0,0
